selected project;rowId;projectId;ownerLogin;name;language;totalCommitters;totalcommits;projectAge;windowIdx;blauGender;turnover;female;lone;tenureMedian;tenureDiversity;expertise;teamSize;stCongruence;truckFactor;centrality
https://github.com/travis-ci/travis-ci;108360;14915;travis-ci;travis-ci;JavaScript;129;7076;12;2;0.054;0.436;6;13;4;4;0.7;55;0.27;4;1.2
https://github.com/jedi4ever/veewee;191010;13255;jedi4ever;veewee;Shell;366;3228;11;12;0.026;0.37;1;13;4;3;0.9;82;0.11;4;1
https://github.com/mxcube/mxcube;26068;3537187;mxcube;mxcube;Python;23;1050;21;2;0.48;0.474;1;14;4;7;0.9;74;0.04;1;0
https://github.com/symfony/symfony-docs;531305;10070;symfony;symfony-docs-id;Python;772;9969;8;3;0.208;0.737;3;14;1;7;0.6;66;0.23;4;1.1
https://github.com/django/django;450420;1226;django;django-html-escape;Python;1100;23604;17;11;0.153;0.083;5;14;2;0;0.6;70;0.01;4;0.6
https://github.com/chapuni/llvm-project;739693;10;chapuni;llvm;C++;269;11874;12;4;0.111;0.444;2;14;3;0;0.9;77;0.18;1;1
https://github.com/symfony/symfony-docs;531317;10070;symfony;symfony-docs-id;Python;772;9969;8;15;0.078;0.59;1;14;5;5;0;56;0.15;1;1.5
https://github.com/emberjs/ember.js;778486;540;emberjs;amber.js;JavaScript;480;9756;13;10;0.05;0.232;2;14;5;3;0.5;69;0.25;1;0.7
https://github.com/travis-ci/travis-ci;108362;14915;travis-ci;travis-ci;JavaScript;129;7076;12;4;0.046;0.163;5;14;5;7;0.7;51;0.07;3;1.5
https://github.com/travis-ci/travis-ci;108364;14915;travis-ci;travis-ci;JavaScript;129;7076;12;6;0.041;0.132;6;14;1;6;0.1;56;0.13;2;0.6
https://github.com/travis-ci/travis-ci;108363;14915;travis-ci;travis-ci;JavaScript;129;7076;12;5;0.022;0.17;8;14;4;0;0.8;58;0.19;3;1.3
https://github.com/cloudfoundry-attic/cf-docs;850718;143060;cloudfoundry;cf-docs;Shell;133;1136;17;5;0.26;0.758;4;15;3;1;0.8;70;0.17;4;0.9
https://github.com/akretion/openerp-addons;15065;3085817;Akretion;openerp-addons;Python;113;2363;19;5;0.198;0.475;7;15;3;3;0.2;79;0.04;4;0.8
https://github.com/django/django;450413;1226;django;django-html-escape;Python;1100;23604;17;4;0.188;0.053;1;15;5;6;0.9;52;0.27;3;1
https://github.com/puppetlabs/puppet;506971;873008;puppetlabs;puppetlabs-puppetdb;Puppet;49;357;18;2;0.124;0.471;2;15;1;4;0;50;0.12;3;0.1
https://github.com/symfony/symfony-docs;531315;10070;symfony;symfony-docs-id;Python;772;9969;8;13;0.114;0.5;5;15;0;6;0.2;53;0.04;2;0.2
https://github.com/robbyrussell/oh-my-zsh;839945;3231;robbyrussell;zsh-config;Python;3384;25212;6;15;0.092;0.465;10;15;1;5;0.7;84;0.01;4;0.1
https://github.com/torvalds/linux;806633;1088;torvalds;linux-imx6-1;C;1053;104219;14;21;0.085;0.334;34;15;1;4;0.8;74;0.19;3;0.6
https://github.com/robbyrussell/oh-my-zsh;839942;3231;robbyrussell;zsh-config;Python;3384;25212;6;12;0.073;0.551;1;15;1;8;0.8;80;0.22;4;1.5
https://github.com/travis-ci/travis-ci;108368;14915;travis-ci;travis-ci;JavaScript;129;7076;12;10;0.066;0.025;7;15;5;3;0.2;55;0.09;3;0.4
https://github.com/holman/dotfiles;673765;3545;holman;dotfiles-v2;C;886;19168;9;14;0.042;0.435;13;15;3;8;0.4;79;0.01;2;0.8
https://github.com/holman/dotfiles;673762;3545;holman;dotfiles-v2;C;886;19168;9;11;0.034;0.518;3;15;0;7;0.3;83;0.04;5;0.3
https://github.com/emberjs/ember.js;778480;540;emberjs;amber.js;JavaScript;480;9756;13;4;0.013;0.196;22;15;4;7;0.7;59;0.29;3;1.1
https://github.com/chapuni/llvm-project;739690;10;chapuni;llvm;C++;269;11874;12;1;0.213;1;2;16;0;5;0.1;50;0.23;3;0.9
https://github.com/moodle/moodle;559541;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;18;0.165;0.378;4;16;0;2;0.6;73;0.23;3;1.4
https://github.com/moodle/moodle;559537;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;14;0.153;0.489;1;16;0;6;0.5;84;0.06;3;0.8
https://github.com/django/django;450410;1226;django;django-html-escape;Python;1100;23604;17;1;0.142;1;3;16;1;1;0.7;82;0.16;1;0.7
https://github.com/django/django;450414;1226;django;django-html-escape;Python;1100;23604;17;5;0.117;0.062;7;16;2;1;0.3;60;0.14;4;1.4
https://github.com/puppetlabs/puppet;211236;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;20;0.092;0.427;4;16;5;5;0.9;79;0.05;5;0.2
https://github.com/moodle/moodle;559535;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;12;0.071;0.455;2;16;2;4;0.6;62;0.13;1;1.2
https://github.com/rspec/rspec-core;579583;46357;rspec;core;Ruby;256;4802;6;15;0.052;0.321;1;16;5;1;0.3;82;0.03;1;0.5
https://github.com/travis-ci/travis-ci;108365;14915;travis-ci;travis-ci;JavaScript;129;7076;12;7;0.029;0.066;1;16;5;6;0.9;83;0.02;3;1.2
https://github.com/holman/dotfiles;673761;3545;holman;dotfiles-v2;C;886;19168;9;10;0.029;0.593;3;16;2;5;0.5;75;0.08;1;0.7
