selected project;rowId;projectId;ownerLogin;name;language;totalCommitters;totalcommits;projectAge;windowIdx;blauGender;turnover;female;radio;tenureMedian;tenureDiversity;expertise;teamSize;stCongruence;truckFactor;centrality
https://github.com/puppetlabs/puppet;211234;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;18;0.09;0.55;4;3;4;0;0.7;85;0.4;3;1.2
https://github.com/puppetlabs/puppet;211235;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;19;0.091;0.41;4;3;1;7;0.5;84;0.1;4;1.2
https://github.com/rspec/rspec-core;579578;46357;rspec;core;Ruby;256;4802;6;10;0.101;0.43;4;3;4;6;1;75;0.4;1;1.4
https://github.com/akretion/openerp-addons;15066;3085817;Akretion;openerp-addons;Python;113;2363;19;6;0.194;0.54;5;3;2;0;0.8;46;1;5;1.4
https://github.com/rspec/rspec-core;579584;46357;rspec;core;Ruby;256;4802;6;16;0.121;0.46;5;3;5;8;0.1;77;0.8;5;0.4
https://github.com/cloudfoundry-attic/cf-docs;850720;143060;cloudfoundry;cf-docs;Shell;133;1136;17;7;0.227;0.58;6;3;4;1;0.3;46;0.5;2;0
https://github.com/travis-ci/travis-ci;108368;14915;travis-ci;travis-ci;JavaScript;129;7076;12;10;0.066;0.4;7;3;5;3;0.2;206;0;3;0.4
https://github.com/django/django;450428;1226;django;django-html-escape;Python;1100;23604;17;19;0.072;0.47;8;3;1;2;1;215;0.3;2;0.1
https://github.com/travis-ci/travis-ci;108367;14915;travis-ci;travis-ci;JavaScript;129;7076;12;9;0.076;0.48;8;3;0;4;1;203;0.8;1;0.9
https://github.com/moodle/moodle;559540;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;17;0.208;0.4;8;3;0;1;0;68;0.3;2;1.3
https://github.com/liferay/liferay-portal;148778;3981;liferay;liferay-portal;Java;341;118673;7;13;0.129;0.49;9;3;0;8;0.4;130;0.2;2;0.6
https://github.com/chapuni/llvm-project;739697;10;chapuni;llvm;C++;269;11874;12;8;0.137;0.57;9;3;5;3;0.9;122;0.9;3;1
https://github.com/chapuni/llvm-project;739699;10;chapuni;llvm;C++;269;11874;12;10;0.118;0.5;9;3;4;3;0.1;143;0.3;2;1.4
https://github.com/moodle/moodle;559546;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;23;0.199;0.46;14;3;5;1;0.6;125;0.3;4;0.9
https://github.com/robbyrussell/oh-my-zsh;839947;3231;robbyrussell;zsh-config;Python;3384;25212;6;17;0.073;0.57;27;3;4;1;0;709;0.8;4;0.7
https://github.com/django/django;450417;1226;django;django-html-escape;Python;1100;23604;17;8;0.133;0.64;1;4;2;4;0.1;14;1;4;0.2
https://github.com/django/django;450420;1226;django;django-html-escape;Python;1100;23604;17;11;0.153;0.69;1;4;2;0;0.6;12;0.9;4;0.6
https://github.com/torvalds/linux;806623;1088;torvalds;linux-imx6-1;C;1053;104219;14;11;0.024;0.51;1;4;4;3;0.9;82;0.6;5;1.4
https://github.com/mozilla/openbadger;148686;19064;mozilla;OpenBadger;JavaScript;15;862;17;5;0.245;0.62;1;4;2;7;0.2;7;0.4;3;0.5
https://github.com/jedi4ever/veewee;191010;13255;jedi4ever;veewee;Shell;366;3228;11;12;0.026;0.67;1;4;4;3;0.9;77;0;4;1
https://github.com/robbyrussell/oh-my-zsh;839934;3231;robbyrussell;zsh-config;Python;3384;25212;6;4;0.038;0.72;1;4;2;0;0;52;0.2;3;1.5
https://github.com/symfony/symfony-docs;531305;10070;symfony;symfony-docs-id;Python;772;9969;8;3;0.208;0.75;2;4;1;7;0.6;17;0.9;4;1.1
https://github.com/symfony/symfony-docs;531312;10070;symfony;symfony-docs-id;Python;772;9969;8;10;0.033;0.54;2;4;1;7;0.9;118;0.2;5;0.6
https://github.com/moodle/moodle;559533;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;10;0.231;0.71;2;4;0;4;0.3;15;1;2;1.3
https://github.com/rspec/rspec-core;579574;46357;rspec;core;Ruby;256;4802;6;6;0.053;0.54;2;4;5;4;0.6;73;0.4;3;1.4
https://github.com/chapuni/llvm-project;827045;163432;jrk;llvm;C++;43;304;13;1;0.142;0.66;3;4;5;5;0.2;39;0;5;0.5
https://github.com/symfony/symfony-docs;531311;10070;symfony;symfony-docs-id;Python;772;9969;8;9;0.047;0.57;3;4;4;1;0.8;125;0;2;0
https://github.com/symfony/symfony-docs;531313;10070;symfony;symfony-docs-id;Python;772;9969;8;11;0.047;0.65;3;4;5;1;0.3;124;1;1;0.3
https://github.com/robbyrussell/oh-my-zsh;839936;3231;robbyrussell;zsh-config;Python;3384;25212;6;6;0.049;0.66;3;4;1;1;0.5;120;1;5;0
https://github.com/rspec/rspec-core;579580;46357;rspec;core;Ruby;256;4802;6;12;0.088;0.6;3;4;5;8;0.3;65;0.2;4;0.9
https://github.com/rspec/rspec-core;579586;46357;rspec;core;Ruby;256;4802;6;18;0.105;0.72;3;4;0;6;0.8;54;0.5;1;0.9
https://github.com/chapuni/llvm-project;739693;10;chapuni;llvm;C++;269;11874;12;4;0.111;0.62;5;4;3;0;0.9;85;0.5;1;1
https://github.com/chapuni/llvm-project;739694;10;chapuni;llvm;C++;269;11874;12;5;0.133;0.52;5;4;1;5;1;70;0.1;3;0.6
https://github.com/puppetlabs/puppet;211239;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;23;0.112;0.51;5;4;1;8;1;84;0.9;2;0.6
https://github.com/symfony/symfony-docs;531316;10070;symfony;symfony-docs-id;Python;772;9969;8;14;0.076;0.5;7;4;1;1;0;176;0.1;3;0.9
https://github.com/emberjs/ember.js;778485;540;emberjs;amber.js;JavaScript;480;9756;13;9;0.074;0.52;10;4;2;0;0;260;0.7;1;0.5
https://github.com/torvalds/linux;806632;1088;torvalds;linux-imx6-1;C;1053;104219;14;20;0.069;0.56;10;4;5;4;0;281;0.5;4;1.4
https://github.com/moodle/moodle;559545;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;22;0.169;0.52;10;4;3;8;0;107;0.7;3;0.6
https://github.com/liferay/liferay-portal;148779;3981;liferay;liferay-portal;Java;341;118673;7;14;0.143;0.65;11;4;5;0;0.3;142;0.9;4;0.2
https://github.com/robbyrussell/oh-my-zsh;839942;3231;robbyrussell;zsh-config;Python;3384;25212;6;12;0.073;0.8;22;4;1;8;0.8;580;0.8;4;1.5
https://github.com/django/django;450422;1226;django;django-html-escape;Python;1100;23604;17;13;0.095;0.53;1;5;3;1;0.5;20;0.9;2;1.2
https://github.com/torvalds/linux;806621;1088;torvalds;linux-imx6-1;C;1053;104219;14;9;0.024;0.53;1;5;5;6;0.8;82;0.5;2;1.2
https://github.com/jedi4ever/veewee;191002;13255;jedi4ever;veewee;Shell;366;3228;11;4;0.054;0.62;1;5;2;6;0.4;36;0.9;4;0
https://github.com/robbyrussell/oh-my-zsh;839933;3231;robbyrussell;zsh-config;Python;3384;25212;6;3;0.038;0.58;1;5;1;6;0.9;51;0.3;1;0.8
https://github.com/django/django;450412;1226;django;django-html-escape;Python;1100;23604;17;3;0.165;0.69;2;5;5;8;0.4;22;0.8;2;0.5
https://github.com/django/django;450416;1226;django;django-html-escape;Python;1100;23604;17;7;0.198;0.8;2;5;0;5;0.1;18;0.2;4;0.9
https://github.com/travis-ci/travis-ci;108361;14915;travis-ci;travis-ci;JavaScript;129;7076;12;3;0.059;0.72;2;5;0;3;0.9;66;0.5;2;1.5
https://github.com/moodle/moodle;559534;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;11;0.153;0.62;2;5;1;6;0.7;24;0;3;1.5
https://github.com/travis-ci/travis-ci;108364;14915;travis-ci;travis-ci;JavaScript;129;7076;12;6;0.041;0.69;3;5;1;6;0.1;145;0.2;2;0.6
https://github.com/moodle/moodle;559537;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;14;0.153;0.7;3;5;0;6;0.5;36;0.7;3;0.8
https://github.com/chapuni/llvm-project;739690;10;chapuni;llvm;C++;269;11874;12;1;0.213;0.75;4;5;0;5;0.1;33;0.3;3;0.9
https://github.com/rspec/rspec-core;579581;46357;rspec;core;Ruby;256;4802;6;13;0.087;0.58;4;5;4;8;0.8;88;0.9;3;0.5
https://github.com/puppetlabs/puppet;211240;847;puppetlabs;puppetlabs-puppet;Ruby;408;16883;4;24;0.099;0.71;5;5;4;6;0.1;96;0.2;5;0.8
https://github.com/jedi4ever/veewee;191006;13255;jedi4ever;veewee;Shell;366;3228;11;8;0.106;0.78;5;5;0;7;0.4;89;0.3;3;0.8
https://github.com/moodle/moodle;559542;1691;moodle;wip-MDL-38793-2.5_users_replace_filters;PHP;366;47096;7;19;0.105;0.6;5;5;4;4;1;90;0.6;5;1.1
https://github.com/mxcube/mxcube;26068;3537187;mxcube;mxcube;Python;23;1050;21;2;0.48;0.75;6;5;4;7;0.9;15;0.9;1;0
https://github.com/akretion/openerp-addons;15064;3085817;Akretion;openerp-addons;Python;113;2363;19;4;0.327;0.61;7;5;1;4;0.1;34;1;3;0.8
https://github.com/travis-ci/travis-ci;108369;14915;travis-ci;travis-ci;JavaScript;129;7076;12;11;0.053;0.7;7;5;3;7;1;259;0.6;3;0.6
https://github.com/robbyrussell/oh-my-zsh;839937;3231;robbyrussell;zsh-config;Python;3384;25212;6;7;0.062;0.54;7;5;0;3;0.9;219;0.6;4;1.1
https://github.com/torvalds/linux;806630;1088;torvalds;linux-imx6-1;C;1053;104219;14;18;0.067;0.72;10;5;3;5;0.4;288;0;5;1.4
https://github.com/symfony/symfony-docs;531315;10070;symfony;symfony-docs-id;Python;772;9969;8;13;0.114;0.54;10;5;0;6;0.2;165;0.9;2;0.2
https://github.com/torvalds/linux;806634;1088;torvalds;linux-imx6-1;C;1053;104219;14;22;0.071;0.6;11;5;0;1;0.5;297;0.6;2;0.7
https://github.com/django/django;450433;1226;django;django-html-escape;Python;1100;23604;17;24;0.095;0.73;12;5;4;4;0.6;241;0.1;5;1.4
https://github.com/liferay/liferay-portal;148781;3981;liferay;liferay-portal;Java;341;118673;7;16;0.166;0.79;13;5;4;5;0.8;142;0.5;1;1.4
https://github.com/torvalds/linux;806631;1088;torvalds;linux-imx6-1;C;1053;104219;14;19;0.087;0.75;13;5;1;5;0.4;285;1;3;0.2
https://github.com/torvalds/linux;806633;1088;torvalds;linux-imx6-1;C;1053;104219;14;21;0.085;0.65;13;5;1;4;0.8;292;0.1;3;0.6
https://github.com/torvalds/linux;806635;1088;torvalds;linux-imx6-1;C;1053;104219;14;23;0.08;0.78;13;5;0;1;0.6;310;1;2;1.1
https://github.com/robbyrussell/oh-my-zsh;839939;3231;robbyrussell;zsh-config;Python;3384;25212;6;9;0.088;0.78;16;5;2;8;0.2;348;0.6;3;1.5
https://github.com/robbyrussell/oh-my-zsh;839940;3231;robbyrussell;zsh-config;Python;3384;25212;6;10;0.094;0.64;25;5;2;3;1;507;0.3;3;0.6
